City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
628,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
633,Haapiti,PF,78.53,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
635,Aventura,US,79.99,clear sky,25.9565,-80.1392,Residence Inn by Marriott Miami Aventura Mall
636,Saint-Joseph,RE,79.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
638,Kutum,SD,77.79,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
640,Jalu,LY,78.17,clear sky,29.0331,21.5482,صاحبة الفخامة
644,Manaure,CO,79.83,overcast clouds,11.7751,-72.4445,Hotel Palaaima
645,Sinjar,IQ,79.11,overcast clouds,36.3209,41.8754,زوماني فون 1
646,Peniche,PT,77.74,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
647,Singkawang,ID,87.03,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
648,Anahuac,MX,78.84,overcast clouds,27.2333,-100.15,HOTEL SAN FELIPE
649,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
652,Middelburg,ZA,79.41,few clouds,-25.7751,29.4648,Oregon Place Guest House
653,Am Timan,TD,87.87,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
655,Porto Novo,BJ,86.61,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
656,Oussouye,SN,82.04,overcast clouds,12.485,-16.5469,Auberge du Routard
658,Cabo San Lucas,MX,76.6,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
661,Qui Nhon,VN,82.15,light rain,13.7667,109.2333,Hoang Yen Canary Hotel
664,Tutoia,BR,79.02,scattered clouds,-2.7619,-42.2744,Pousada Guará's
670,Pacatuba,BR,79.47,scattered clouds,-3.9842,-38.6203,Pousada das Andreias
675,Dano,BF,85.87,clear sky,11.15,-3.0667,Auberge Phenix32-Dano
677,Umm Lajj,SA,88.54,clear sky,25.0213,37.2685,Moon light Furnished Units
682,Boke,GN,81.37,broken clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
685,Brownsville,US,82.35,scattered clouds,25.9018,-97.4975,University Inn & Suites
689,Labuhan,ID,85.96,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
690,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
694,San Policarpo,PH,81.9,light rain,12.1791,125.5072,Agapita M. Nicart
695,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
