City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Viesca,MX,25.35,-102.8,74.35,56,100,1.99,overcast clouds
151,Port Macquarie,AU,-31.4333,152.9167,63.37,77,100,13.2,light rain
152,Sydney,AU,-33.8679,151.2073,64.31,79,75,5.01,broken clouds
153,Rapar,IN,23.5667,70.6333,92.53,33,0,8.86,clear sky
154,Alofi,NU,-19.0595,-169.9187,74.57,62,23,2.57,few clouds
155,Novi Pazar,RS,43.1367,20.5122,50.41,64,100,3.69,overcast clouds
156,Puerto Ayora,EC,-0.7393,-90.3518,68.65,88,87,12.08,overcast clouds
157,Chokurdakh,RU,70.6333,147.9167,19.56,96,100,6.62,overcast clouds
158,Medicine Hat,CA,50.0501,-110.6683,33.22,69,0,1.01,clear sky
159,Matara,LK,5.9485,80.5353,86.34,66,9,15.97,clear sky
160,Tessalit,ML,20.1986,1.0114,91.27,9,6,16.24,clear sky
161,Taikang,CN,46.8333,124.4167,53.4,63,100,13.49,light rain
162,Souillac,MU,-20.5167,57.5167,77.36,78,48,10.76,light rain
163,Barrow,US,71.2906,-156.7887,28.42,74,90,21.85,overcast clouds
164,Sabang,ID,5.8933,95.3214,83.08,77,98,22.84,overcast clouds
165,Nome,US,64.5011,-165.4064,30.27,86,90,0.0,overcast clouds
166,Port Alfred,ZA,-33.5906,26.891,72.52,62,95,9.31,overcast clouds
167,Morondava,MG,-20.2833,44.2833,81.84,65,23,10.22,few clouds
168,Vostok,RU,46.4856,135.8833,44.11,60,84,3.65,broken clouds
169,Mujiayingzi,CN,42.1167,118.7833,55.8,62,2,5.7,clear sky
170,Cairns,AU,-16.9167,145.7667,81.07,78,40,3.44,scattered clouds
171,Kichera,RU,55.9375,110.0997,31.59,56,99,5.3,overcast clouds
172,Aldan,RU,58.6031,125.3894,16.88,80,100,2.53,overcast clouds
173,Srikakulam,IN,18.3,83.9,83.26,80,100,5.7,overcast clouds
174,Snyder,US,32.7179,-100.9176,77.52,51,43,15.9,scattered clouds
175,Torbay,CA,47.6666,-52.7314,47.35,96,90,19.57,light rain
176,Komsomolskiy,UZ,40.4272,71.7189,68.72,22,0,0.0,clear sky
177,Curuca,BR,-0.7289,-47.8481,75.47,87,37,4.34,scattered clouds
178,Alice Springs,AU,-23.7,133.8833,80.15,12,0,6.91,clear sky
179,Kalmunai,LK,7.4167,81.8167,89.44,54,49,9.93,scattered clouds
180,Asyut,EG,27.181,31.1837,90.34,27,4,10.65,clear sky
181,Beisfjord,NO,68.3751,17.5988,41.25,95,95,4.07,overcast clouds
182,Charters Towers,AU,-20.1,146.2667,86.4,33,97,2.26,overcast clouds
183,Hermanus,ZA,-34.4187,19.2345,75.9,65,100,5.57,overcast clouds
184,Jinxiang,CN,27.4327,120.6062,74.91,97,100,14.16,moderate rain
185,Kununurra,AU,-15.7667,128.7333,100.38,22,41,1.14,scattered clouds
186,Ust-Kuyga,RU,70.0167,135.6,23.41,96,100,5.82,light snow
187,San Pedro,PH,14.35,121.0167,80.35,89,100,1.88,overcast clouds
188,Shache,CN,38.4167,77.2406,67.28,10,9,8.68,clear sky
189,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.36,84,82,15.23,broken clouds
190,Inuvik,CA,68.3499,-133.7218,27.36,93,90,9.22,light snow
191,Belousovka,KZ,50.1339,82.5239,41.85,49,75,2.24,broken clouds
192,Porto Santo,PT,33.072,-16.3415,71.31,68,20,3.44,few clouds
193,Red Wing,US,44.5625,-92.5338,57.58,95,1,1.01,clear sky
194,Labuan,MY,5.2767,115.2417,89.76,69,58,7.72,broken clouds
195,Odesskoye,RU,54.2111,72.9651,44.51,83,100,4.72,overcast clouds
196,Bad Segeberg,DE,53.9333,10.3167,47.86,75,100,5.79,overcast clouds
197,Jieshi,CN,22.8134,115.8257,77.95,84,100,21.0,light rain
198,Nadvoitsy,RU,63.8667,34.3167,43.95,86,100,5.01,overcast clouds
199,Carutapera,BR,-1.195,-46.02,79.36,75,35,9.66,scattered clouds
200,Jackson,US,42.4165,-122.8345,45.79,91,90,5.75,mist
201,Bambous Virieux,MU,-20.3428,57.7575,77.22,79,72,11.92,broken clouds
202,Deputatskiy,RU,69.3,139.9,19.53,96,100,3.91,light snow
203,Saldanha,ZA,-33.0117,17.9442,66.78,69,100,7.67,overcast clouds
204,Prainha,BR,-1.8,-53.48,74.44,76,80,3.89,broken clouds
205,Pytalovo,RU,57.0679,27.9138,49.28,62,100,7.14,overcast clouds
206,Margate,GB,51.3813,1.3862,52.03,83,97,6.78,overcast clouds
207,Coihaique,CL,-45.5752,-72.0662,49.95,62,0,6.91,clear sky
208,Perth,AU,-31.9333,115.8333,68.18,62,0,18.41,clear sky
209,Provideniya,RU,64.3833,-173.3,28.09,82,100,4.99,overcast clouds
210,Lokosovo,RU,61.1333,74.8167,33.67,98,100,8.23,overcast clouds
211,Zhigansk,RU,66.7697,123.3711,14.79,92,92,4.92,overcast clouds
212,Srednebelaya,RU,50.6594,128.0106,57.58,57,100,11.14,overcast clouds
213,Ilulissat,GL,69.2167,-51.1,39.22,41,100,9.22,overcast clouds
214,Skibbereen,IE,51.55,-9.2667,53.4,82,31,3.69,scattered clouds
215,Chuy,UY,-33.6971,-53.4616,58.12,97,84,2.46,broken clouds
216,Usinsk,RU,65.9939,57.5281,40.53,86,100,17.31,overcast clouds
217,Rawson,AR,-43.3002,-65.1023,56.7,78,6,4.03,clear sky
218,Fairview,US,40.8126,-73.999,63.63,89,90,3.0,overcast clouds
219,Muros,ES,42.7762,-9.0603,70.23,74,0,4.43,clear sky
220,Ukiah,US,39.1502,-123.2078,53.37,52,75,3.44,broken clouds
221,Yei,SS,4.095,30.6779,78.78,70,97,6.64,light rain
222,Klyuchi,RU,52.2667,79.1667,39.83,87,100,6.15,overcast clouds
223,Akyab,MM,20.15,92.9,85.93,71,8,7.54,clear sky
224,Rio Cuarto,AR,-33.1307,-64.3499,50.83,96,100,7.7,moderate rain
225,Mumford,GH,5.2618,-0.759,81.34,80,97,9.4,overcast clouds
226,Sorland,NO,67.667,12.6934,40.86,58,87,3.38,overcast clouds
227,Moen,NO,69.1304,18.6123,39.27,93,75,6.91,broken clouds
228,Synya,RU,65.3718,58.0387,41.02,85,98,11.1,overcast clouds
229,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,19.57,broken clouds
230,Lompoc,US,34.6391,-120.4579,54.93,65,1,17.0,clear sky
231,Byumba,RW,-1.5763,30.0675,68.2,50,89,4.54,overcast clouds
232,Georgetown,MY,5.4112,100.3354,93.13,52,79,6.91,broken clouds
233,Cartagena,CO,10.3997,-75.5144,80.22,83,40,3.44,moderate rain
234,Carnarvon,AU,-24.8667,113.6333,75.27,57,0,17.27,clear sky
235,Skelleftea,SE,64.7507,20.9528,39.99,60,0,1.01,clear sky
236,Hambantota,LK,6.1241,81.1185,93.54,59,20,16.11,few clouds
237,Codrington,AU,-38.2667,141.9667,48.97,97,100,3.6,light rain
238,Kodinsk,RU,58.6881,99.1844,29.44,46,100,4.52,overcast clouds
239,Kudahuvadhoo,MV,2.6708,72.8944,83.43,75,25,17.67,scattered clouds
240,Mildura,AU,-34.2,142.15,54.07,84,70,3.91,broken clouds
241,Chumikan,RU,54.7183,135.315,35.02,98,100,13.56,light rain
242,Bilibino,RU,68.0546,166.4372,-5.66,90,23,5.7,few clouds
243,Faya,SA,18.3851,42.4509,77.52,10,13,9.46,few clouds
244,Phangnga,TH,8.4509,98.5298,86.92,87,94,8.75,light rain
245,Alta Floresta,BR,-9.8756,-56.0861,71.19,88,8,2.73,clear sky
246,Kavaratti,IN,10.5669,72.642,81.7,81,99,21.59,overcast clouds
247,Baruun-Urt,MN,46.6806,113.2792,51.51,38,83,11.3,broken clouds
248,Teguise,ES,29.0605,-13.564,70.02,73,20,5.75,few clouds
249,Kyabram,AU,-36.3167,145.05,55.53,91,68,18.3,broken clouds
250,Batsfjord,NO,70.6345,29.7185,41.22,75,20,20.71,few clouds
251,Nikolskoye,RU,59.7035,30.7861,50.4,78,100,4.36,light rain
252,San Patricio,US,28.017,-97.5169,82.83,76,100,14.52,overcast clouds
253,Yellowknife,CA,62.456,-114.3525,46.42,80,100,15.99,overcast clouds
254,Belaya Gora,RU,68.5333,146.4167,18.23,86,100,5.39,overcast clouds
255,Yumen,CN,40.2833,97.2,57.96,21,10,18.84,clear sky
256,Morros,BR,-9.4467,-46.3003,75.99,69,80,1.28,broken clouds
257,Catamarca,AR,-28.4696,-65.7852,74.77,72,0,5.75,clear sky
258,Keffi,NG,8.8486,7.8736,85.8,64,29,2.04,scattered clouds
259,Gorontalo,ID,0.5412,123.0595,83.19,82,100,2.24,overcast clouds
260,Hovd,MN,48.0056,91.6419,44.8,17,33,13.51,scattered clouds
261,Dhanera,IN,24.5167,72.0167,96.53,19,0,5.3,clear sky
262,Te Anau,NZ,-45.4167,167.7167,37.47,90,23,3.76,few clouds
263,Saint-Philippe,RE,-21.3585,55.7679,80.22,85,52,10.38,broken clouds
264,Chingirlau,KZ,51.095,54.0814,58.8,31,18,14.47,few clouds
265,Santa Lucia,ES,27.9117,-15.5407,65.77,68,20,10.36,few clouds
266,Broome,US,42.2506,-75.833,61.81,93,90,1.99,overcast clouds
267,College,US,64.8569,-147.8028,29.86,81,75,0.0,broken clouds
268,Atmakur,IN,15.8833,78.5833,89.46,46,93,5.48,overcast clouds
269,Cayenne,GF,4.9333,-52.3333,75.09,89,92,2.3,overcast clouds
270,Lasa,IT,46.6166,10.7002,50.68,67,51,7.16,broken clouds
271,Pavlodar,KZ,52.3,76.95,53.4,50,0,11.18,clear sky
272,Bacungan,PH,9.9106,118.7022,84.07,73,99,6.78,overcast clouds
273,Dingle,PH,10.9995,122.6711,81.21,83,87,8.01,overcast clouds
274,Roura,GF,4.7263,-52.3274,74.97,100,85,2.3,overcast clouds
275,Zhuanghe,CN,39.7008,122.9911,64.04,72,70,5.77,broken clouds
276,Lebu,CL,-37.6167,-73.65,51.13,91,100,7.87,overcast clouds
277,Abalak,RU,58.1286,68.5944,51.17,72,97,5.48,overcast clouds
278,Caravelas,BR,-17.7125,-39.2481,72.43,88,100,2.71,overcast clouds
279,Puerto Escondido,MX,15.85,-97.0667,78.69,88,10,5.59,clear sky
280,Turmero,VE,10.2239,-67.4729,71.83,96,8,1.23,clear sky
281,Basco,PH,20.4487,121.9702,81.37,85,100,16.82,heavy intensity rain
282,Samdari,IN,25.8167,72.5833,96.03,18,0,4.56,clear sky
283,Mandalgovi,MN,45.7625,106.2708,46.08,25,0,14.76,clear sky
284,Mecca,SA,21.4267,39.8261,104.32,8,0,8.7,clear sky
285,Manjacaze,MZ,-24.7117,33.8828,90.9,20,0,7.14,clear sky
286,Khanpur,PK,28.6453,70.6567,99.79,8,0,4.03,clear sky
287,Hami,CN,42.8,93.45,58.98,26,30,5.32,scattered clouds
288,Almaznyy,RU,48.0448,40.045,57.34,50,79,20.54,broken clouds
289,Sitka,US,57.0531,-135.33,46.29,76,90,12.66,light rain
290,Mora,CM,11.0461,14.1401,91.38,22,3,4.23,clear sky
